Year,Engine Size (L),Price (EUR),Price (USD)
2010,4.2,45962.1265,54073.09
2017,4.2,38186.1735,44924.91
2011,4.2,65418.924,76963.44
2010,2.4,26240.5625,30871.25
2010,3.6,61232.0025,72037.65
2011,2.6,54924.314,64616.84
2016,2.0,33285.447499999995,39159.35
2018,4.0,18236.801,21455.06
2017,2.0,38249.0735,44998.91
2016,1.6,50658.3935,59598.11
2013,2.9,49329.3505,58034.53
2019,4.6,51624.631,60734.86
2014,1.2,55747.913,65585.78
2016,2.6,16698.93,19645.8
2015,2.4,35396.958,41643.48
2017,4.5,35624.009999999995,41910.6
2019,1.4,53629.934,63094.04
2020,4.9,14178.433499999996,16680.51
2018,1.7,60270.1935,70906.11
2016,2.3,47892.179,56343.74
2017,2.9,57748.48999999999,67939.4
2015,4.5,41411.1585,48719.01
2012,2.7,20335.2555,23923.83
2016,3.1,49039.458,57693.48
2013,2.9,25288.7835,29751.51
2014,3.7,40947.067,48173.02
2018,3.7,14910.9805,17542.33
2013,1.7,35913.4775,42251.15
2016,4.0,41058.1535,48303.71
2020,4.3,18276.003,21501.18
2020,3.7,67886.576,79866.56
2010,3.5,20545.1545,24170.77
2015,4.5,41049.3135,48293.31
2015,2.3,55713.5475,65545.35
2015,2.4,13594.8065,15993.89
2020,2.1,66605.864,78359.84
2015,3.6,33454.3935,39358.11
2011,3.5,22954.556,27005.36
2018,1.6,17039.95,20047.0
2017,4.5,59278.779,69739.74
2011,1.5,50782.825,59744.5
2013,2.3,52069.47,61258.2
2016,3.3,15406.505,18125.3
2017,3.2,65601.4785,77178.21
2014,1.0,53551.02,63001.2
2015,2.2,25403.185,29886.1
2017,3.0,46436.8855,54631.63
2020,2.9,22887.185,26926.1
2014,4.3,27610.3715,32482.79
2016,3.5,37132.8195,43685.67
2018,1.6,54643.2785,64286.21
2019,5.0,41116.659,48372.54
2013,2.0,41582.4845,48920.57
2014,2.4,18211.1735,21424.91
2015,2.9,47736.697,56160.82
2019,2.5,50361.7605,59249.13
2018,1.4,51650.386,60765.16
2011,3.5,42936.4325,50513.45
2011,2.7,28140.083,33105.98
2011,2.7,27029.286,31799.16
2010,2.5,52493.739,61757.34
2016,1.6,64475.90849999999,75854.01
2017,1.9,56944.866,66993.96
2011,2.5,43269.012,50904.72
2016,4.8,39323.312,46262.72
2014,1.9,50368.5095,59257.07
2018,1.7,36928.148,43444.88
2010,4.6,41884.8465,49276.29
2016,1.8,62448.854,73469.24
2010,4.1,31657.944,37244.64
2015,3.7,44964.32,52899.2
2020,2.1,57777.033,67972.98
2016,3.5,46268.5005,54433.53
2013,1.3,19691.9075,23166.95
2013,2.4,60109.399,70716.94
2011,1.1,15883.576,18686.56
2013,4.2,47472.2195,55849.67
2019,4.6,38586.685,45396.1
2013,3.3,62948.875,74057.5
2020,1.9,65788.09599999999,77397.76
2012,1.4,66535.875,78277.5
2014,4.8,36480.8185,42918.61
2014,5.0,53977.8305,63503.33
2019,1.8,58911.3495,69307.47
2018,1.9,23770.284,27965.04
2012,4.0,44938.2845,52868.57
2017,3.2,26033.052,30627.12
2013,3.5,42473.429,49968.74
2016,3.0,37749.928,44411.68
2010,2.1,63551.3805,74766.33
2013,2.5,56286.779,66219.74
2012,4.7,13725.6385,16147.81
2013,2.2,44112.314,51896.84
2018,4.0,56493.4565,66462.89
2013,2.6,52392.674,61638.44
2018,3.8,62715.50749999999,73782.95
2012,3.0,18761.9905,22072.93
2017,4.7,36489.5905,42928.93
2018,3.5,67434.835,79335.1
2016,4.8,33555.4585,39477.01
2011,2.5,62153.5725,73121.85
2011,4.3,49816.8595,58608.07
2010,1.5,44991.4435,52931.11
2018,2.8,15764.822499999998,18546.85
