Make,Model,Year,Engine Size (L),Fuel Type,Price (USD),Price (EUR)
Volkswagen,Jetta,2010,4.2,Petrol,54073.09,45962.1265
Honda,Pilot,2017,4.2,Hybrid,44924.91,38186.173500000004
Nissan,Murano,2011,4.2,Hybrid,76963.44,65418.924
Toyota,RAV4,2010,2.4,Petrol,30871.25,26240.5625
Nissan,Altima,2010,3.6,Petrol,72037.65,61232.002499999995
Ford,Focus,2011,2.6,Petrol,64616.84,54924.314
Ford,Explorer,2016,2.0,Petrol,39159.35,33285.447499999995
BMW,7 Series,2018,4.0,Diesel,21455.06,18236.801
Hyundai,Kona,2017,2.0,Electric,44998.91,38249.0735
Chevrolet,Impala,2016,1.6,Petrol,59598.11,50658.3935
BMW,3 Series,2013,2.9,Electric,58034.53,49329.3505
Nissan,Sentra,2019,4.6,Diesel,60734.86,51624.631
Honda,Pilot,2014,1.2,Hybrid,65585.78,55747.913
Chevrolet,Impala,2016,2.6,Electric,19645.8,16698.93
Toyota,Corolla,2015,2.4,Petrol,41643.48,35396.958
Chevrolet,Malibu,2017,4.5,Diesel,41910.6,35624.009999999995
Volkswagen,Tiguan,2019,1.4,Hybrid,63094.04,53629.934
BMW,3 Series,2020,4.9,Hybrid,16680.51,14178.433499999997
Toyota,Camry,2018,1.7,Petrol,70906.11,60270.1935
Ford,Focus,2016,2.3,Petrol,56343.74,47892.179
Chevrolet,Malibu,2017,2.9,Electric,67939.4,57748.48999999999
Toyota,Prius,2015,4.5,Electric,48719.01,41411.1585
Hyundai,Tucson,2012,2.7,Hybrid,23923.83,20335.2555
Honda,Pilot,2016,3.1,Hybrid,57693.48,49039.458
Hyundai,Elantra,2013,2.9,Diesel,29751.51,25288.783499999998
BMW,7 Series,2014,3.7,Diesel,48173.02,40947.066999999995
Hyundai,Kona,2018,3.7,Electric,17542.33,14910.980500000001
Honda,CR-V,2013,1.7,Petrol,42251.15,35913.4775
Hyundai,Elantra,2016,4.0,Electric,48303.71,41058.1535
Ford,Focus,2020,4.3,Hybrid,21501.18,18276.003
